semana_cat;FERTILES;ESTERILES
(5.954, 6.885];10;0
(6.885, 7.769];8;10
(7.769, 8.654];4;357
(8.654, 9.538];7;290
(9.538, 10.423];6;1083
(10.423, 11.308];9;856
(11.308, 12.192];10;689
(12.192, 13.077];7;440
(13.077, 13.962];4;3
(13.962, 14.846];9;919
(14.846, 15.731];12;285
(15.731, 16.615];9;662
(16.615, 17.5];16;783
(17.5, 18.385];17;1027
(18.385, 19.269];56;1063
(19.269, 20.154];144;868
(20.154, 21.038];306;852
(21.038, 21.923];7;9
(21.923, 22.808];338;374
(22.808, 23.692];635;225
(23.692, 24.577];623;364
(24.577, 25.462];978;391
(25.462, 26.346];1051;571
(26.346, 27.231];1497;413
(27.231, 28.115];1484;335
(28.115, 29.0];2372;465
(29.0, 29.885];7;8
(29.885, 30.769];1867;576
(30.769, 31.654];2230;555
(31.654, 32.538];4656;718
(32.538, 33.423];4386;353
(33.423, 34.308];4623;242
(34.308, 35.192];2658;223
(35.192, 36.077];3356;185
(36.077, 36.962];3;7
(36.962, 37.846];3895;161
(37.846, 38.731];2082;353
(38.731, 39.615];1926;125
(39.615, 40.5];1429;206
(40.5, 41.385];801;122
(41.385, 42.269];275;92
(42.269, 43.154];1274;79
(43.154, 44.038];553;9
(44.038, 44.923];7;1
(44.923, 45.808];369;5
(45.808, 46.692];460;20
(46.692, 47.577];218;102
(47.577, 48.462];27;11
(48.462, 49.346];63;13
(49.346, 50.231];6;21
(50.231, 51.115];16;2
(51.115, 52.0];8;24
