time;temperature_2m_max (°C);temperature_2m_min (°C);temperature_2m_mean (°C)
1/9/2020;15,3;6,8;11,2
2/9/2020;16,4;4,5;11
3/9/2020;18,5;5,4;12,8
4/9/2020;16,4;7,2;12,5
5/9/2020;16,6;7,1;11,7
6/9/2020;14,9;5,2;10,5
7/9/2020;17,8;5;11,6
8/9/2020;25,4;7,4;15,4
9/9/2020;20,5;12,4;16,7
10/9/2020;24,9;9,5;18
11/9/2020;18,5;13,2;16,1
12/9/2020;20,3;7,5;15
13/9/2020;19,6;10,9;15,8
14/9/2020;18,9;5,5;12,7
15/9/2020;24,4;11,4;17,5
16/9/2020;22,6;12,7;17,9
17/9/2020;28,8;15,4;21
18/9/2020;21,3;14,7;18,1
19/9/2020;16;7,7;12,6
20/9/2020;20,2;9,2;14,5
21/9/2020;23,2;9,6;16,5
22/9/2020;25,9;10,1;18,5
23/9/2020;25,9;12;19,7
24/9/2020;28;13,1;21
25/9/2020;28,3;16,8;22,4
26/9/2020;19,9;13,1;17
27/9/2020;20,7;9,6;15,6
28/9/2020;24;9,2;17,4
29/9/2020;28;11,7;19,9
30/9/2020;25,9;12;19,9
1/10/2020;19;9,8;14,8
2/10/2020;18,8;8,1;12,9
3/10/2020;10,2;5,1;7,2
4/10/2020;14,7;3,6;8,3
5/10/2020;19,2;4,2;11,4
6/10/2020;24,3;10,2;17,4
7/10/2020;22,3;11,6;17,1
8/10/2020;24,9;10;17,9
9/10/2020;24,3;12,4;18,7
10/10/2020;32,5;15,5;22,4
11/10/2020;21,4;10,4;16,4
12/10/2020;26;10,9;19,6
13/10/2020;29,9;17;24,1
14/10/2020;27,8;19,5;22,8
15/10/2020;27,9;14,7;22,3
16/10/2020;30,2;16,9;24,1
17/10/2020;33,4;18,8;26,8
18/10/2020;32,8;21,8;27,4
19/10/2020;27,1;19;23,5
20/10/2020;25,2;14,4;20,2
21/10/2020;25,1;12,7;18,9
22/10/2020;24,8;14,7;19,4
23/10/2020;29;15,3;22,8
24/10/2020;31,7;19,3;25,3
25/10/2020;22,7;12,8;17,3
26/10/2020;26,5;10,7;18,5
27/10/2020;28,9;13,9;21,7
28/10/2020;20,9;11,6;17
29/10/2020;19,4;12,7;16,2
30/10/2020;24,2;11,2;18,3
31/10/2020;28,3;12,9;21,9
1/11/2020;30;15,8;23,2
2/11/2020;31,8;16,9;25,5
3/11/2020;34,1;18,9;27,2
